,Country/Territory,UN_Region,IMF_Estimate,IMF_Year,WorldBank_Estimate,WorldBank_Year,UN_Estimate,UN_Year
112,Bosnia and Herzegovina,Europe,8223,2023,7143,2021,7143,2021
113,Thailand,Asia,8181,2023,7066,2021,7067,2021
114,Armenia,Asia,8007,2023,4967,2021,4967,2021
115,Belarus,Europe,7944,2023,7302,2021,7121,2021
116,Peru,Americas,7772,2023,6622,2021,6622,2021
117,Georgia,Asia,7600,2023,5023,2021,4975,2021
118,North Macedonia,Europe,7384,2023,6695,2021,6600,2021
119,Botswana,Africa,7270,2023,6805,2021,6805,2021
120,Albania,Europe,7058,2023,6493,2021,6396,2021
121,Belize,Americas,7017,2023,6228,2021,6229,2021
122,Libya,Africa,6763,2023,6357,2021,5791,2021
123,Azerbaijan,Asia,6757,2023,5388,2021,5296,2021
124,Ecuador,Americas,6642,2023,5965,2021,5965,2021
125,South Africa,Africa,6485,2023,7055,2021,7055,2021
126,Colombia,Americas,6417,2023,6104,2021,6104,2021
127,Moldova,Europe,6342,2023,5231,2021,4468,2021
128,Jamaica,Americas,6282,2023,5184,2021,5184,2021
129,Iraq,Asia,6180,2023,4775,2021,4686,2021
130,Tuvalu,Oceania,6007,2023,5632,2021,5370,2021
131,Fiji,Oceania,5887,2023,4647,2021,4647,2021
132,Paraguay,Americas,5667,2023,5892,2021,6035,2021
133,Kosovo,Europe,5641,2023,5270,2021,5663,2021
134,Suriname,Americas,5556,2023,4869,2021,5259,2021
135,Tonga,Oceania,5421,2023,4426,2021,4451,2021
136,Guatemala,Americas,5358,2023,5026,2021,4883,2021
137,El Salvador,Americas,5308,2023,4551,2021,4551,2021
138,Marshall Islands,Oceania,5164,2023,6172,2021,6111,2021
139,Namibia,Africa,5100,2023,4866,2021,4836,2021
140,Jordan,Asia,5048,2023,4103,2021,4058,2021
141,Indonesia,Asia,5016,2023,4333,2021,4333,2021
142,Mongolia,Asia,4814,2023,4566,2021,4510,2021
143,Ukraine,Europe,4654,2023,4836,2021,4596,2021
144,Algeria,Africa,4481,2023,3691,2021,3700,2021
145,Vietnam,Asia,4475,2023,3757,2021,3756,2021
146,Samoa,Oceania,4436,2023,3857,2021,3919,2021
147,Micronesia,Oceania,4336,2023,3571,2021,3573,2021
148,Cape Verde,Africa,4278,2023,3293,2021,3293,2021
149,Iran,Asia,4251,2023,4091,2021,6766,2021
150,Eswatini,Africa,4146,2023,3978,2021,3969,2021
151,Lebanon,Asia,3589,2020,4136,2021,6785,2021
152,Tunisia,Africa,4071,2023,3807,2021,3807,2021
153,Philippines,Asia,3905,2023,3461,2021,3461,2021
154,Djibouti,Africa,3802,2023,3150,2021,3348,2021
155,Bolivia,Americas,3800,2023,3345,2021,3345,2021
156,Morocco,Africa,3748,2023,3795,2021,3853,2021
157,Egypt,Africa,3644,2023,3699,2021,3898,2021
158,Venezuela,Americas,3640,2023,15976,2014,3965,2021
159,Papua New Guinea,Oceania,3517,2023,2673,2021,2673,2021
160,Palestine,Asia,3506,2023,3664,2021,3514,2021
161,Bhutan,Asia,3497,2023,3266,2021,3063,2021
162,Sri Lanka,Asia,3362,2022,4014,2021,3918,2021
163,Honduras,Americas,3278,2023,2772,2021,2772,2021
164,Angola,Africa,3204,2023,1954,2021,2258,2021
165,Vanuatu,Oceania,3188,2023,2997,2021,3073,2021
166,São Tomé and Príncipe,Africa,2695,2023,2361,2021,2486,2021
167,Ivory Coast,Africa,2646,2023,2549,2021,2539,2021
168,India,Asia,2601,2023,2257,2021,2274,2021
169,Nicaragua,Americas,2589,2023,2046,2021,2046,2021
170,Congo,Africa,2584,2023,2290,2021,2200,2021
171,Uzbekistan,Asia,2563,2023,1983,2021,2032,2021
172,Mauritania,Africa,2475,2023,2166,2021,2166,2021
173,Bangladesh,Asia,2469,2023,2458,2021,2450,2021
174,Solomon Islands,Oceania,2299,2023,2305,2021,2306,2021
175,Nigeria,Africa,2280,2023,2066,2021,2019,2021
176,Kenya,Africa,2269,2023,2082,2021,2082,2021
177,Haiti,Americas,2173,2023,1830,2021,1664,2021
178,Ghana,Africa,2024,2023,2363,2021,2409,2021
179,Kiribati,Oceania,1989,2023,1607,2021,1765,2021
180,Cambodia,Asia,1896,2023,1625,2021,1608,2021
181,Laos,Asia,1858,2023,2536,2021,2569,2021
182,Zimbabwe,Africa,1851,2023,1774,2021,1508,2021
183,Kyrgyzstan,Asia,1736,2023,1277,2021,1339,2021
184,Senegal,Africa,1719,2023,1637,2021,1637,2021
185,Cameroon,Africa,1699,2023,1667,2021,1668,2021
186,Pakistan,Asia,1658,2022,1505,2021,1480,2021
187,Guinea,Africa,1549,2023,1189,2021,1185,2021
188,Ethiopia,Africa,1475,2023,925,2021,825,2021
189,Timor-Leste,Asia,1425,2023,2741,2021,1517,2021
190,Zambia,Africa,1423,2023,1137,2021,1095,2021
191,Benin,Africa,1390,2023,1319,2021,1361,2021
192,Nepal,Asia,1377,2023,1208,2021,1159,2021
193,Comoros,Africa,1360,2023,1578,2021,1631,2021
194,Tanzania,Africa,1348,2023,1099,2021,1136,[n 10]2021
195,Tajikistan,Asia,1277,2023,897,2021,897,2021
196,Zanzibar,Africa,0,0,0,0,1211,2021
197,Lesotho,Africa,1208,2023,1094,2021,1040,2021
198,Myanmar,Asia,1180,2023,1210,2021,1089,2021
199,Uganda,Africa,1105,2023,884,2021,930,2021
200,Togo,Africa,990,2023,973,2021,944,2021
201,Sudan,Africa,975,2023,752,2021,786,2021
202,Guinea-Bissau,Africa,974,2023,795,2021,759,2021
203,Rwanda,Africa,970,2023,822,2021,822,2021
204,Syria,Asia,0,0,533,2020,925,2021
205,Burkina Faso,Africa,900,2023,893,2021,893,2021
206,Mali,Africa,889,2023,874,2021,875,2021
207,Gambia,Africa,861,2023,772,2021,772,2021
208,Liberia,Africa,805,2023,676,2021,471,2021
209,Eritrea,Africa,715,2023,644,2011,623,2021
210,DR Congo,Africa,695,2023,577,2021,551,2021
211,Chad,Africa,667,2023,686,2021,955,2021
212,North Korea,Asia,0,0,0,0,654,2021
213,Niger,Africa,613,2023,591,2021,591,2021
214,Mozambique,Africa,587,2023,492,2021,492,2021
215,Yemen,Asia,573,2023,702,2018,302,2021
216,Somalia,Africa,544,2023,447,2021,447,2021
217,Madagascar,Africa,536,2023,501,2021,500,2021
218,Central African Republic,Africa,534,2023,461,2021,461,2021
219,Malawi,Africa,496,2023,635,2021,613,2021
220,South Sudan,Africa,467,2023,1072,2015,400,2021
221,Sierra Leone,Africa,415,2023,480,2021,505,2021
222,Afghanistan,Asia,611,2020,369,2021,373,2021
223,Burundi,Africa,249,2023,222,2021,311,2021
